                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 0.7902,                  1.867,                0.22349,                0.64608,                 1.0732,                0.66632,                0.42857,                0.49026,                 0.2156,                0.12964,                 0.1493,                0.06135,                0.01622,                 2.2157,                 7.6391,                0.56554,                 2.4494,                 2.1825,             0.00047889,             0.00047889,             0.00047889
                     64,                0.86608,                 2.9028,                0.25881,                0.81001,                 1.0679,                0.66632,                0.42857,                0.49026,                 0.2156,                0.12964,                 0.1493,                0.06135,                0.01622,                 2.2157,                 7.6391,                0.56554,                 2.4494,                 2.1825,             0.00047414,             0.00047414,             0.00047414
                     65,                0.80956,                 1.8294,                0.25852,                0.66254,                0.94711,                0.66632,                0.42857,                0.49026,                 0.2156,                0.12964,                 0.1493,                0.06135,                0.01622,                 2.2157,                 7.6391,                0.56554,                 2.4494,                 2.1825,             0.00046899,             0.00046899,             0.00046899
                     66,                0.76004,                 2.1497,                0.24749,                0.72189,                 1.0139,                0.58756,                0.42857,                0.47856,                0.21632,                0.16926,                0.21429,                0.07975,                0.02067,                  2.184,                 7.6113,                0.56565,                 2.3366,                 2.2033,             0.00046345,             0.00046345,             0.00046345
                     67,                 0.9155,                   1.99,                0.30545,                0.71231,                 1.1134,                0.58756,                0.42857,                0.47856,                0.21632,                0.16926,                0.21429,                0.07975,                0.02067,                  2.184,                 7.6113,                0.56565,                 2.3366,                 2.2033,             0.00045751,             0.00045751,             0.00045751
                     68,                0.91856,                 2.4741,                0.26605,                0.86856,                 1.1391,                0.58756,                0.42857,                0.47856,                0.21632,                0.16926,                0.21429,                0.07975,                0.02067,                  2.184,                 7.6113,                0.56565,                 2.3366,                 2.2033,             0.00045118,             0.00045118,             0.00045118
                     69,                0.71476,                 2.8187,                0.38951,                0.60932,                0.99984,                0.64356,                0.42857,                0.52182,                0.23121,                0.65121,                0.14286,                0.17304,                0.03571,                 2.2093,                   7.58,                0.56211,                  2.335,                 2.1506,             0.00044445,             0.00044445,             0.00044445
                     70,                 0.8708,                 1.8285,                0.33881,                 0.7305,                 1.1189,                0.64356,                0.42857,                0.52182,                0.23121,                0.65121,                0.14286,                0.17304,                0.03571,                 2.2093,                   7.58,                0.56211,                  2.335,                 2.1506,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.0196,                 3.3925,                0.41876,                 0.8854,                 1.1959,                0.64356,                0.42857,                0.52182,                0.23121,                0.65121,                0.14286,                0.17304,                0.03571,                 2.2093,                   7.58,                0.56211,                  2.335,                 2.1506,              0.0004298,              0.0004298,              0.0004298
                     72,                0.96367,                 2.8702,                0.29243,                0.77098,                 1.0836,                0.68141,                0.42857,                0.50041,                0.25079,                0.95203,                0.21429,                0.22688,                 0.0571,                 2.1589,                 7.5824,                0.56488,                 2.2587,                 2.0532,             0.00042188,             0.00042188,             0.00042188
                     73,                0.67644,                 2.5234,                0.22532,                0.64411,                0.99729,                0.68141,                0.42857,                0.50041,                0.25079,                0.95203,                0.21429,                0.22688,                 0.0571,                 2.1589,                 7.5824,                0.56488,                 2.2587,                 2.0532,             0.00041357,             0.00041357,             0.00041357
                     74,                0.78627,                 1.8584,                0.30138,                0.64755,                0.98289,                0.68141,                0.42857,                0.50041,                0.25079,                0.95203,                0.21429,                0.22688,                 0.0571,                 2.1589,                 7.5824,                0.56488,                 2.2587,                 2.0532,             0.00040486,             0.00040486,             0.00040486
                     75,                0.70163,                 2.1437,                0.32754,                0.59402,                0.98192,                0.61768,                    0.5,                0.57019,                0.25981,                0.93494,                0.21429,                0.22751,                0.06919,                 2.1294,                 7.6605,                0.56095,                  2.156,                 1.9884,             0.00039575,             0.00039575,             0.00039575
                     76,                0.60089,                 1.6739,                0.29769,                0.51982,                 0.9813,                0.61768,                    0.5,                0.57019,                0.25981,                0.93494,                0.21429,                0.22751,                0.06919,                 2.1294,                 7.6605,                0.56095,                  2.156,                 1.9884,             0.00038625,             0.00038625,             0.00038625
                     77,                0.90113,                 3.5188,                  0.343,                0.66694,                 1.1351,                0.61768,                    0.5,                0.57019,                0.25981,                0.93494,                0.21429,                0.22751,                0.06919,                 2.1294,                 7.6605,                0.56095,                  2.156,                 1.9884,             0.00037635,             0.00037635,             0.00037635
                     78,                0.93284,                 2.9557,                0.25882,                0.72166,                 1.1186,                0.70589,                0.51542,                0.61536,                0.25431,                0.93553,                0.21429,                0.22779,                0.08618,                 2.1091,                 7.7283,                0.56387,                  2.236,                 1.9845,             0.00036606,             0.00036606,             0.00036606
                     79,                0.66323,                 2.0355,                0.29355,                0.55433,                 1.0508,                0.70589,                0.51542,                0.61536,                0.25431,                0.93553,                0.21429,                0.22779,                0.08618,                 2.1091,                 7.7283,                0.56387,                  2.236,                 1.9845,             0.00035537,             0.00035537,             0.00035537
                     80,                0.73088,                 1.7737,                0.26199,                0.64341,                0.98457,                0.70589,                0.51542,                0.61536,                0.25431,                0.93553,                0.21429,                0.22779,                0.08618,                 2.1091,                 7.7283,                0.56387,                  2.236,                 1.9845,             0.00034428,             0.00034428,             0.00034428
                     81,                0.64018,                 1.9792,                0.38953,                0.52957,                 1.0035,                0.65971,                0.55502,                 0.6202,                0.23812,                0.93207,                0.21429,                0.22807,                 0.0851,                 2.1136,                 7.5894,                0.56909,                  2.308,                 2.0508,              0.0003328,              0.0003328,              0.0003328
                     82,                0.69094,                 2.4503,                0.35813,                0.69511,                  1.044,                0.65971,                0.55502,                 0.6202,                0.23812,                0.93207,                0.21429,                0.22807,                 0.0851,                 2.1136,                 7.5894,                0.56909,                  2.308,                 2.0508,             0.00032092,             0.00032092,             0.00032092
                     83,                0.66108,                 1.7826,                0.31527,                 0.6061,                0.95459,                0.65971,                0.55502,                 0.6202,                0.23812,                0.93207,                0.21429,                0.22807,                 0.0851,                 2.1136,                 7.5894,                0.56909,                  2.308,                 2.0508,             0.00030865,             0.00030865,             0.00030865
                     84,                0.57468,                 1.2073,                0.25172,                0.55164,                0.85157,                0.56868,                0.56547,                0.55693,                0.20739,                0.91786,                0.21429,                0.22807,                0.09341,                 2.1539,                 7.6043,                0.56735,                 2.2526,                 2.1065,             0.00029598,             0.00029598,             0.00029598
                     85,                 0.6919,                 2.3628,                 0.3102,                0.55655,                 1.0303,                0.56868,                0.56547,                0.55693,                0.20739,                0.91786,                0.21429,                0.22807,                0.09341,                 2.1539,                 7.6043,                0.56735,                 2.2526,                 2.1065,             0.00028291,             0.00028291,             0.00028291
                     86,                0.70196,                 1.8709,                0.29686,                0.59598,                 1.0384,                0.56868,                0.56547,                0.55693,                0.20739,                0.91786,                0.21429,                0.22807,                0.09341,                 2.1539,                 7.6043,                0.56735,                 2.2526,                 2.1065,             0.00026945,             0.00026945,             0.00026945
                     87,                0.64445,                 1.3562,                0.27607,                 0.4577,                 0.9696,                0.56868,                0.56547,                0.55693,                0.20739,                0.91786,                0.21429,                0.22807,                0.09341,                 2.1539,                 7.6043,                0.56735,                 2.2526,                 2.1065,             0.00025559,             0.00025559,             0.00025559
                     88,                0.77805,                  1.588,                0.30344,                0.61961,                 1.0251,                 0.6233,                    0.5,                0.58417,                0.22608,                0.90351,                0.21429,                0.22989,                0.08648,                 2.1207,                 7.5758,                0.56841,                 2.2369,                 2.1183,             0.00024134,             0.00024134,             0.00024134
                     89,                0.66691,                 2.0171,                0.34542,                0.62728,                0.92957,                 0.6233,                    0.5,                0.58417,                0.22608,                0.90351,                0.21429,                0.22989,                0.08648,                 2.1207,                 7.5758,                0.56841,                 2.2369,                 2.1183,             0.00022669,             0.00022669,             0.00022669
                     90,                0.81906,                 3.0555,                0.27848,                0.78731,                  1.195,                 0.6233,                    0.5,                0.58417,                0.22608,                0.90351,                0.21429,                0.22989,                0.08648,                 2.1207,                 7.5758,                0.56841,                 2.2369,                 2.1183,             0.00021164,             0.00021164,             0.00021164
                     91,                0.55495,                 1.0382,                 0.2501,                0.47476,                0.95588,                 0.6233,                    0.5,                0.58417,                0.22608,                0.90351,                0.21429,                0.22989,                0.08648,                 2.1207,                 7.5758,                0.56841,                 2.2369,                 2.1183,              0.0001962,              0.0001962,              0.0001962
                     92,                0.53544,                 1.0227,                0.22888,                0.49816,                0.94081,                0.77653,                0.49678,                0.61112,                0.25129,                0.81999,                0.14286,                 0.1554,                0.07887,                 2.1202,                 7.5843,                0.57475,                 2.2023,                 2.1214,             0.00018036,             0.00018036,             0.00018036
                     93,                0.56416,                 1.4755,                0.29757,                0.42056,                0.81569,                0.77653,                0.49678,                0.61112,                0.25129,                0.81999,                0.14286,                 0.1554,                0.07887,                 2.1202,                 7.5843,                0.57475,                 2.2023,                 2.1214,             0.00016413,             0.00016413,             0.00016413
                     94,                0.45713,                 1.1415,                0.22001,                0.43118,                0.87394,                0.77653,                0.49678,                0.61112,                0.25129,                0.81999,                0.14286,                 0.1554,                0.07887,                 2.1202,                 7.5843,                0.57475,                 2.2023,                 2.1214,              0.0001475,              0.0001475,              0.0001475
